filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 814).jpg,0,1000,600,157.657,0.197632,0.27024,0.43552,138.742
cat_1000x600 (Copy 209).jpg,1,1000,600,209.271,0.193408,0.13376,0.390016,190.626
cat_1000x600 (Copy 1633).jpg,0,1000,600,349.001,0.201728,0.260864,0.421952,330.277
cat_1000x600 (Copy 1247).jpg,1,1000,600,144.652,0.194432,0.124064,0.379072,126.049
cat_1000x600 (Copy 1019).jpg,0,1000,600,193.597,0.205632,0.19072,0.413952,174.615
cat_1000x600 (Copy 595).jpg,1,1000,600,156.463,0.196608,0.098976,0.38176,137.698
cat_1000x600 (Copy 297).jpg,0,1000,600,196.625,0.203776,0.278592,0.432224,177.824
cat_1000x600 (Copy 1207).jpg,0,1000,600,175.634,0.196608,0.234016,0.535168,156.57
cat_1000x600 (Copy 600).jpg,1,1000,600,239.815,0.187392,0.14256,0.501408,220.661
cat_1000x600 (Copy 1069).jpg,1,1000,600,126.176,0.197632,0.142784,0.500832,107.352
cat_1000x600 (Copy 314).jpg,0,1000,600,139.676,0.203776,0.270144,0.548832,120.545
cat_1000x600 (Copy 612).jpg,1,1000,600,161.15,0.195584,0.115392,0.487872,142.194
cat_1000x600 (Copy 1831).jpg,0,1000,600,225.301,0.205824,0.196928,0.548608,205.874
cat_1000x600 (Copy 647).jpg,1,1000,600,141.11,0.191328,0.10528,0.381568,122.581
cat_1000x600 (Copy 831).jpg,0,1000,600,161.774,0.203616,0.242464,0.41824,143.064
cat_1000x600 (Copy 386).jpg,0,1000,600,135.724,0.197408,0.25184,0.535104,116.718
cat_1000x600 (Copy 577).jpg,1,1000,600,161.019,0.198656,0.115264,0.486496,141.973
cat_1000x600 (Copy 1332).jpg,1,1000,600,175.69,0.193536,0.14192,0.362016,156.861
cat_1000x600 (Copy 1953).jpg,0,1000,600,573.328,0.202752,0.251712,0.426848,554.365
cat_1000x600 (Copy 69).jpg,1,1000,600,138.359,0.196608,0.123712,0.371168,119.6
cat_1000x600 (Copy 614).jpg,0,1000,600,174.339,0.202688,0.261024,0.411264,155.482
cat_1000x600 (Copy 1511).jpg,0,1000,600,135.335,0.197632,0.19744,0.418272,116.537
cat_1000x600 (Copy 920).jpg,1,1000,600,149.153,0.18944,0.124032,0.388064,130.222
cat_1000x600 (Copy 134).jpg,0,1000,600,133.068,0.206848,0.19104,0.54976,113.721
cat_1000x600 (Copy 1659).jpg,1,1000,600,150.797,0.195584,0.115072,0.487168,131.999
cat_1000x600 (Copy 1159).jpg,1,1000,600,157.668,0.19648,0.115232,0.50912,138.706
cat_1000x600 (Copy 1554).jpg,0,1000,600,164.19,0.2048,0.197248,0.539968,145.257
cat_1000x600 (Copy 843).jpg,0,1000,600,136.397,0.202592,0.243168,0.40752,117.492
cat_1000x600 (Copy 1021).jpg,1,1000,600,148.685,0.195584,0.142016,0.372896,130.048
cat_1000x600 (Copy 1534).jpg,1,1000,600,146.573,0.202752,0.171392,0.48288,127.109
cat_1000x600 (Copy 1399).jpg,0,1000,600,294.963,0.200576,0.234688,0.549536,275.501
cat_1000x600 (Copy 1708).jpg,0,1000,600,171.3,0.2048,0.197152,0.411648,152.241
cat_1000x600 (Copy 118).jpg,1,1000,600,178.773,0.192512,0.124768,0.396224,159.918
cat_1000x600 (Copy 1656).jpg,0,1000,600,131.741,0.198656,0.242752,0.411264,112.841
cat_1000x600 (Copy 402).jpg,1,1000,600,166.123,0.188416,0.105568,0.36512,147.252
cat_1000x600 (Copy 351).jpg,0,1000,600,163.325,0.201728,0.25184,0.41248,144.472
cat_1000x600 (Copy 497).jpg,1,1000,600,316.006,0.196576,0.133344,0.374464,297.38
cat_1000x600 (Copy 1933).jpg,1,1000,600,152.168,0.196608,0.106272,0.3696,133.215
cat_1000x600 (Copy 1579).jpg,0,1000,600,191.601,0.203776,0.242432,0.408544,172.633
cat_1000x600 (Copy 1912).jpg,0,1000,600,131.243,0.201728,0.242624,0.405888,112.386
cat_1000x600 (Copy 158).jpg,1,1000,600,131.581,0.19536,0.13312,0.357696,113.137
cat_1000x600 (Copy 377).jpg,1,1000,600,152.06,0.196608,0.142688,0.582464,133.105
cat_1000x600 (Copy 971).jpg,0,1000,600,175.682,0.203776,0.19088,0.559584,156.294
cat_1000x600 (Copy 1407).jpg,0,1000,600,143.461,0.201728,0.250816,0.41136,124.815
cat_1000x600 (Copy 487).jpg,1,1000,600,166.191,0.1936,0.10528,0.389312,147.552
cat_1000x600 (Copy 691).jpg,1,1000,600,133.944,0.196576,0.13296,0.377984,115.223
cat_1000x600 (Copy 1368).jpg,0,1000,600,163.708,0.203776,0.259872,0.421152,144.661
cat_1000x600 (Copy 1530).jpg,0,1000,600,126.931,0.201728,0.251808,0.422208,108.104
cat_1000x600 (Copy 875).jpg,1,1000,600,182.654,0.19456,0.124064,0.390304,163.808
cat_1000x600 (Copy 367).jpg,0,1000,600,132.526,0.202752,0.232192,0.422336,113.352
cat_1000x600 (Copy 902).jpg,1,1000,600,147.072,0.19552,0.105888,0.38592,128.018
cat_1000x600 (Copy 779).jpg,1,1000,600,125.538,0.197632,0.15168,0.47936,106.564
cat_1000x600 (Copy 852).jpg,0,1000,600,128,0.205824,0.2416,0.542208,108.753
cat_1000x600 (Copy 1123).jpg,1,1000,600,126.383,0.196608,0.1424,0.498304,107.4
cat_1000x600 (Copy 277).jpg,0,1000,600,159.106,0.203904,0.206208,0.539616,139.737
cat_1000x600 (Copy 926).jpg,1,1000,600,202.298,0.19456,0.13328,0.369984,183.689
cat_1000x600 (Copy 1492).jpg,0,1000,600,267.472,0.200704,0.2416,0.402432,248.513
cat_1000x600 (Copy 242).jpg,1,1000,600,132.147,0.196448,0.133536,0.373344,113.414
cat_1000x600 (Copy 1504).jpg,0,1000,600,152.298,0.202528,0.261024,0.434048,133.58
cat_1000x600 (Copy 641).jpg,1,1000,600,149.401,0.194272,0.09872,0.35952,130.916
cat_1000x600 (Copy 411).jpg,0,1000,600,157.197,0.20304,0.261024,0.426304,138.393
cat_1000x600 (Copy 366).jpg,0,1000,600,141.406,0.202752,0.190944,0.548352,122.385
cat_1000x600 (Copy 508).jpg,1,1000,600,206.18,0.198656,0.124288,0.492,187.085
cat_1000x600 (Copy 901).jpg,0,1000,600,137.494,0.196448,0.259936,0.414208,118.767
cat_1000x600 (Copy 1724).jpg,1,1000,600,159.938,0.18736,0.105952,0.361728,141.395
cat_1000x600 (Copy 1052).jpg,0,1000,600,144.939,0.202752,0.24304,0.451008,125.923
cat_1000x600 (Copy 1681).jpg,1,1000,600,164.181,0.197632,0.133152,0.361376,145.377
cat_1000x600 (Copy 811).jpg,0,1000,600,140.181,0.19456,0.252448,0.558688,121.061
cat_1000x600 (Copy 495).jpg,1,1000,600,172.935,0.18944,0.142848,0.496768,153.958
cat_1000x600 (Copy 245).jpg,0,1000,600,129.249,0.197632,0.288608,0.44192,109.989
cat_1000x600 (Copy 1957).jpg,1,1000,600,162.995,0.190464,0.13312,0.370176,144.331
cat_1000x600 (Copy 522).jpg,0,1000,600,159.315,0.195584,0.233056,0.414016,140.512
cat_1000x600 (Copy 784).jpg,1,1000,600,178.48,0.189632,0.098688,0.35856,160.051
cat_1000x600 (Copy 1629).jpg,0,1000,600,167.079,0.20144,0.259808,0.421888,147.999
cat_1000x600 (Copy 1127).jpg,1,1000,600,197.901,0.195584,0.133248,0.392992,178.919
cat_1000x600 (Copy 415).jpg,1,1000,600,136.931,0.19536,0.098816,0.359616,118.206
