filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 398).jpg,0,1000,600,133.511,0.073728,0.206272,0.550464,114.112
cat_1000x600 (Copy 2559).jpg,0,1000,600,123.793,0.075776,0.206464,0.556736,104.385
cat_1000x600 (Copy 2830).jpg,0,1000,600,658.969,0.07168,0.250656,0.446464,581.302
cat_1000x600 (Copy 1704).jpg,0,1000,600,548.76,0.072704,0.306112,0.437856,529.664
cat_1000x600 (Copy 3670).jpg,0,1000,600,323.179,0.075776,0.241472,0.92544,302.603
cat_1000x600 (Copy 141).jpg,0,1000,600,868.946,0.074752,0.20624,0.529664,849.119
cat_1000x600 (Copy 3904).jpg,0,1000,600,537.655,0.074752,0.206624,0.532512,515.804
cat_1000x600 (Copy 3628).jpg,0,1000,600,936.083,0.074752,0.21552,0.539488,914.3
cat_1000x600 (Copy 1829).jpg,0,1000,600,171.093,0.07488,0.241472,0.528384,149.462
cat_1000x600 (Copy 4675).jpg,0,1000,600,2668.77,0.074752,0.206944,0.528992,2646.8
cat_1000x600 (Copy 3353).jpg,0,1000,600,217.721,0.073728,0.205984,0.552864,195.893
cat_1000x600 (Copy 2669).jpg,0,1000,600,197.353,0.074752,0.241632,0.53056,175.688
cat_1000x600 (Copy 539).jpg,0,1000,600,811.137,0.074752,0.215584,0.529856,789.4
cat_1000x600 (Copy 3480).jpg,0,1000,600,511.652,0.072704,0.232384,0.405664,490.447
cat_1000x600 (Copy 1958).jpg,0,1000,600,117.367,0.074656,0.215616,0.526304,97.9819
cat_1000x600 (Copy 4516).jpg,0,1000,600,319.229,0.074752,0.250816,0.55136,299.653
cat_1000x600 (Copy 2456).jpg,0,1000,600,855.441,0.072704,0.196032,0.431072,834.001
cat_1000x600 (Copy 2533).jpg,0,1000,600,427.383,0.073728,0.241536,0.402464,407.204
cat_1000x600 (Copy 4427).jpg,0,1000,600,668.015,0.073728,0.241472,0.527232,646.307
cat_1000x600 (Copy 2362).jpg,0,1000,600,186.082,0.073728,0.205536,0.528928,164.865
cat_1000x600 (Copy 2575).jpg,0,1000,600,349.616,0.072704,0.24144,0.403104,253.99
cat_1000x600 (Copy 4443).jpg,0,1000,600,831.514,0.074752,0.21456,0.528864,775.593
cat_1000x600 (Copy 2563).jpg,0,1000,600,165.517,0.073728,0.215584,0.527456,144.861
cat_1000x600 (Copy 95).jpg,0,1000,600,803.653,0.073696,0.241824,0.536768,747.619
cat_1000x600 (Copy 1560).jpg,0,1000,600,147.603,0.07168,0.269088,0.412192,126.753
cat_1000x600 (Copy 4337).jpg,0,1000,600,171.593,0.075776,0.241568,0.530496,151.055
